"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"52","1","file:/data/kalbeck_2__0019_a.tif","/data/kalbeck_2__0019_a.tif","kalbeck_2__0019_a.tif","Signature","Done","53388941","File","tif","2026-05-20T06:53:23","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"53","1","file:/data/kalbeck_2__0021_a.tif","/data/kalbeck_2__0021_a.tif","kalbeck_2__0021_a.tif","Signature","Done","56831551","File","tif","2026-05-20T06:53:27","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"54","1","file:/data/kalbeck_2__0022_a.tif","/data/kalbeck_2__0022_a.tif","kalbeck_2__0022_a.tif","Signature","Done","57709593","File","tif","2026-05-20T06:53:29","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"55","1","file:/data/kalbeck_2__0020_a.tif","/data/kalbeck_2__0020_a.tif","kalbeck_2__0020_a.tif","Signature","Done","56029699","File","tif","2026-05-20T06:53:25","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"56","1","file:/data/kalbeck_2__0020_b.tif","/data/kalbeck_2__0020_b.tif","kalbeck_2__0020_b.tif","Signature","Done","55523923","File","tif","2026-05-20T06:53:25","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"57","1","file:/data/kalbeck_2__0023_a.tif","/data/kalbeck_2__0023_a.tif","kalbeck_2__0023_a.tif","Signature","Done","58184349","File","tif","2026-05-20T06:53:31","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"58","1","file:/data/kalbeck_2__0023_b.tif","/data/kalbeck_2__0023_b.tif","kalbeck_2__0023_b.tif","Signature","Done","56772719","File","tif","2026-05-20T06:53:32","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"59","1","file:/data/kalbeck_2__0022_b.tif","/data/kalbeck_2__0022_b.tif","kalbeck_2__0022_b.tif","Signature","Done","56530489","File","tif","2026-05-20T06:53:30","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"60","1","file:/data/kalbeck_2__0024_b.tif","/data/kalbeck_2__0024_b.tif","kalbeck_2__0024_b.tif","Signature","Done","56031159","File","tif","2026-05-20T06:53:34","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"61","1","file:/data/kalbeck_2__0024_a.tif","/data/kalbeck_2__0024_a.tif","kalbeck_2__0024_a.tif","Signature","Done","58700365","File","tif","2026-05-20T06:53:33","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"62","1","file:/data/kalbeck_2__0025_a.tif","/data/kalbeck_2__0025_a.tif","kalbeck_2__0025_a.tif","Signature","Done","57104863","File","tif","2026-05-20T06:53:35","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"63","1","file:/data/kalbeck_2__0026_b.tif","/data/kalbeck_2__0026_b.tif","kalbeck_2__0026_b.tif","Signature","Done","56877973","File","tif","2026-05-20T06:53:38","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
